Software,RP Name,Software Type,Software Class,Research Area,Research Discipline,Software Description,Software's Web Page,Software Documentation/Link,RP Software Documentation
BLAST,"Stampede-2, Bridges-2, Rockfish",application,"Bioinformatics, computational biology, genomics",Sciences,Biology,"BLAST (Basic Local Alignment Search Tool) is a bioinformatics software program used for comparing primary biological sequence information, such as the amino-acid sequences of proteins or the nucleotides of DNA and/or RNA sequences. It's widely used for identifying similarities, understanding evolutionary relationships, and finding functional and structural homologues among sequences in large databases, making it a crucial tool in genomic and proteomic research.",https://blast.ncbi.nlm.nih.gov/Blast.cgi,https://www.ncbi.nlm.nih.gov/books/NBK279690/,"Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/ ,  Bridges-2: https://www.psc.edu/resources/software/blast"
blast+,"OOKAMI, ACES",,Bioinformatics,Sciences,Biology,"Blast+ allows users to perform BLAST searches on their own server without size, volume and database restrictions. BLAST+ can be used with a command line so it can be integrated directly into your workflow. Description Source:https://blast.ncbi.nlm.nih.gov/doc/blast-help/downloadblastdata.html",https://blast.ncbi.nlm.nih.gov/Blast.cgi,https://www.ncbi.nlm.nih.gov/books/NBK279690/, ACES: https://hprc.tamu.edu/software/aces/
BLAT,Bridges-2,,Bioinformatics,Sciences,Biology,BLAT on DNA is designed to quickly find sequences of 95% and greater similarity of length 25 bases or more. It may miss more divergent or shorter sequence alignments. It will find perfect sequence matches of 20 bases. Description Source:https://genome.ucsc.edu/cgi-bin/hgBlat,https://genome.ucsc.edu/cgi-bin/hgBlat,https://genome.ucsc.edu/goldenpath/help/blatSpec.html,Bridges-2: https://www.psc.edu/resources/software/blat
Blender,ACES,application,,,,"Blender is the free and open source 3D creation suite. It supports the entirety of the 3D pipeline—modeling, rigging, animation, simulation, rendering, compositing and motion tracking, even video editing and game creation. Description Source:https://www.blender.org/about/",https://www.blender.org/,https://docs.blender.org/manual/en/latest/,ACES: https://hprc.tamu.edu/software/aces/
blis,"OOKAMI, Stampede-2, Anvil, ACES",,,,,BLIS is an award-winning portable software framework for instantiating high-performance BLAS-like dense linear algebra libraries. Description Source:https://github.com/flame/blis,https://github.com/flame/blis,https://github.com/flame/blis/wiki," Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/ ,  Anvil: https://www.rcac.purdue.edu/index.php/knowledge/applications/blis ,  ACES: https://hprc.tamu.edu/software/aces/"
bokeh,ACES,library,Visualization,,,"Bokeh is a Python library for creating interactive visualizations for modern web browsers. It helps you build beautiful graphics, ranging from simple plots to complex dashboards with streaming datasets. Description Source:https://docs.bokeh.org/en/latest/",https://bokeh.org/,https://docs.bokeh.org/en/latest/,ACES: https://hprc.tamu.edu/software/aces/
Boost,"OOKAMI, Stampede-2, Anvil, KyRIC, ACES, Bridges-2, Rockfish",library,general,Engineering,Mathematics,"BLAST (Basic Local Alignment Search Tool) is a bioinformatics software program used for comparing primary biological sequence information, such as the amino-acid sequences of proteins or the nucleotides of DNA and/or RNA sequences. It's widely used for identifying similarities, understanding evolutionary relationships, and finding functional and structural homologues among sequences in large databases, making it a crucial tool in genomic and proteomic research.",https://www.boost.org/,https://www.boost.org/doc/libs/1_84_0/," Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/ ,  Anvil: https://www.rcac.purdue.edu/index.php/knowledge/applications/boost ,  ACES: https://hprc.tamu.edu/software/aces/ ,  Bridges-2: https://www.psc.edu/resources/software/boost"
boost-mpi,Stampede-2,library,"general, parallel processing",Engineering,Mathematics,Boost.MPI is a library for message passing in high-performance parallel applications. Description Source:https://www.boost.org/doc/libs/1_84_0/doc/html/mpi/tutorial.html,https://www.boost.org/,https://www.boost.org/doc/libs/1_84_0/doc/html/mpi/tutorial.html,Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/
Boost.MPI,ACES,library,Scientific Library,Engineering,Mathematics,Boost.MPI is a library for message passing in high-performance parallel applications. Description Source:https://www.boost.org/doc/libs/1_84_0/doc/html/mpi/tutorial.html,https://www.boost.org/,https://www.boost.org/doc/libs/1_84_0/doc/html/mpi/tutorial.html,ACES: https://hprc.tamu.edu/software/aces/
Boost.Python,ACES,library,Scientific Library,Engineering,Mathematics,Boost.Python is a C++ library which enables seamless interoperability between C++ and the Python programming language. Description Source:https://www.boost.org/doc/libs/1_84_0/libs/python/doc/html/index.html,https://www.boost.org/doc/libs/1_84_0/libs/python/doc/html/index.html,https://www.boost.org/doc/libs/1_84_0/libs/python/doc/html/tutorial/index.html,ACES: https://hprc.tamu.edu/software/aces/
bowtie,Rockfish,,Bioinformatics,Sciences,Biology,"Bowtie is an ultrafast, memory-efficient short read aligner geared toward quickly aligning large sets of short DNA sequences (reads) to large genomes. Description Source:https://bowtie-bio.sourceforge.net/manual.shtml",https://bowtie-bio.sourceforge.net/index.shtml,https://bowtie-bio.sourceforge.net/manual.shtml,
bowtie2,"Bridges-2, Rockfish",,Bioinformatics,Sciences,Biology,Bowtie 2 is an ultrafast and memory-efficient tool for aligning sequencing reads to long reference sequences. It is particularly good at aligning to relatively long (e.g. mammalian) genomes. Description Source:https://github.com/BenLangmead/bowtie3,https://bowtie-bio.sourceforge.net/bowtie2/index.shtml,https://bowtie-bio.sourceforge.net/bowtie2/manual.shtml,Bridges-2: https://www.psc.edu/resources/software/bowtie2
Brotli,ACES,,,,,"Brotli is a generic-purpose lossless compression algorithm that compresses data using a combination of a modern variant of the LZ77 algorithm, Huffman coding and 2nd order context modeling, with a compression ratio comparable to the best currently available general-purpose compression methods. Description Source:https://brotli.org/",https://brotli.org/,https://github.com/google/brotli,ACES: https://hprc.tamu.edu/software/aces/
Brotli-python,ACES,library,Python library,,,"Brotli is a generic-purpose lossless compression algorithm that compresses data using a combination of a modern variant of the LZ77 algorithm, Huffman coding and 2nd order context modeling, with a compression ratio comparable to the best currently available general-purpose compression methods. Description Source:https://brotli.org/",https://brotli.org/,https://github.com/google/brotli/blob/master/python/README.md,ACES: https://hprc.tamu.edu/software/aces/
Brunsli,ACES,,,,,Brunsli is a lossless JPEG repacking library. Brunsli allows for a 22% decrease in file size while allowing the original JPEG to be recovered byte-by-byte. Description Source:https://github.com/google/brunsli,https://github.com/google/brunsli,https://github.com/google/brunsli,ACES: https://hprc.tamu.edu/software/aces/
BUSCO,Bridges-2,,Bioinformatics,Sciences,Biology,Benchmarking Universal Single-Copy Orthologs (BUSCO) is used for assessing genome assembly and annotation completeness.  Description Source:https://gitlab.com/ezlab/busco,https://busco.ezlab.org/,https://busco.ezlab.org/busco_userguide.html,Bridges-2: https://www.psc.edu/resources/software/busco
bwa,"ACES, Bridges-2, Rockfish",,Bioinformatics,Sciences,Biology,"BWA is a software package for mapping low-divergent sequences against a large reference genome, such as the human genome. Description Source:https://bio-bwa.sourceforge.net/",https://bio-bwa.sourceforge.net/,https://bio-bwa.sourceforge.net/bwa.shtml,"ACES: https://hprc.tamu.edu/software/aces/ ,  Bridges-2: https://www.psc.edu/resources/software/bwa"
bwa-mem,Rockfish,,Bioinformatics,Sciences,Biology,"BWA is a software package for mapping low-divergent sequences against a large reference genome, such as the human genome. BWA-MEM is one of the 3 algorithms originally available in the main bwa package. BWA-MEM has since been replaced by minimap2 in later versions of BWA.  Description Source:https://github.com/lh3/bwa",https://bio-bwa.sourceforge.net/,https://bio-bwa.sourceforge.net/bwa.shtml,
bzip2,"Anvil, ACES, Rockfish",,Utilties,,,"bzip2 is a freely available, patent free, high-quality data compressor. It typically compresses files to within 10% to 15% of the best available techniques (the PPM family of statistical compressors), whilst being around twice as fast at compression and six times faster at decompression. Description Source:https://sourceware.org/bzip2/",https://sourceware.org/bzip2/,https://sourceware.org/bzip2/manual/manual.html,"Anvil: https://www.rcac.purdue.edu/index.php/knowledge/applications/bzip2 ,  ACES: https://hprc.tamu.edu/software/aces/"
bzip2-1.0.8-gcc-9.3.0-mhfuqd4,KyRIC,,Utilites,,,"bzip2 is a freely available, patent free, high-quality data compressor. It typically compresses files to within 10% to 15% of the best available techniques (the PPM family of statistical compressors), whilst being around twice as fast at compression and six times faster at decompression. Description Source:https://sourceware.org/bzip2/",https://sourceware.org/bzip2/,https://sourceware.org/bzip2/manual/manual.html,
C,Bridges-2,,"Compiler, Programming Language",,,,,https://devdocs.io/c/,Bridges-2: https://www.psc.edu/resources/software/c
C++,Bridges-2,,"Compiler, Programming Language",,,,,https://devdocs.io/cpp/,Bridges-2: https://www.psc.edu/resources/software/c++
cactus,Rockfish,application,"modeling, genomics, bioinformatics",Sciences,Biology,"Cactus is a reference-free whole-genome alignment program, as well as a pagenome graph construction toolkit. Description Source = https://github.com/ComparativeGenomicsToolkit/cactus?tab=readme-ov-file",https://github.com/ComparativeGenomicsToolkit/cactus?tab=readme-ov-file,https://github.com/ComparativeGenomicsToolkit/cactus?tab=readme-ov-file,
Caffe,"Stampede-2, Bridges-2",,AI/ML,,,"Caffe is a deep learning framework made with expression, speed, and modularity in mind. It is developed by Berkeley AI Research (BAIR) and by community contributors. Description Source:https://caffe.berkeleyvision.org/",https://caffe.berkeleyvision.org/,https://caffe.berkeleyvision.org/tutorial/,"Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/ ,  Bridges-2: https://www.psc.edu/resources/software/caffe"
cairo,"ACES, Rockfish",,Bioinformatics,Sciences,Biology,"Cairo is a 2D graphics library with support for multiple output devices. Currently supported output targets include the X Window System (via both Xlib and XCB), Quartz, Win32, image buffers, PostScript, PDF, and SVG file output. Description Source:https://cairographics.org/",https://cairographics.org/,https://cairographics.org/documentation/,ACES: https://hprc.tamu.edu/software/aces/
