Software,RP Name,Software Type,Software Class,Research Area,Research Discipline,Software Description,Software's Web Page,Software Documentation/Link,Example Software Use (link),Area-specific Examples,Containerized Version of Software,RP Documentations for Software,Pathing,RP Name,RP Full Software Doc
lammps_gpu,Rockfish,,,Sciences,Chemistry,"LAMMPS is a classical molecular dynamics code with a focus on materials modeling. LAMMPS has potentials for solid-state materials (metals, semiconductors) and soft matter (biomolecules, polymers) and coarse-grained or mesoscopic systems. It can be used to model atoms or, more generically, as a parallel particle simulator at the atomic, meso, or continuum scale.",https://www.lammps.org/,https://docs.lammps.org/Speed_gpu.html,,,,,,,
lammps_plumed,Rockfish,,,Sciences,Chemistry,"LAMMPS is a classical molecular dynamics code with a focus on materials modeling. When PLUMED is integrated with LAMMPS, it extends LAMMPS' capabilities to perform more advanced types of molecular dynamics simulations. This integration is particularly useful for studying complex biomolecular systems and free energy landscapes.",https://www.lammps.org/,,,,,,,,
LAPACK,"OOKAMI, DARWIN",Library,,Engineering,"Mathematics,Engineering",LAPACK is a library of Fortran subroutines for solving the most commonly occurring problems in numerical linear algebra.,https://www.netlib.org/lapack/,https://www.netlib.org/lapack/explore-html/d3/dcc/md__r_e_a_d_m_e.html,,,,DARWIN: https://docs.hpc.udel.edu/software/lapack/lapack,,,
LaPlace,DARWIN,,,,,,,,,,,DARWIN: https://docs.hpc.udel.edu/software/laplace/laplace,,,
LASSO-Python,ACES,,,,,,,,,,,,,,
launcher,"Stampede-2, Anvil",,,,,,,,,,,,,,
lazygit,Bridges-2,,,,,,,,,,,,,,
Leptonica,ACES,,,,,,,,,,,,,,
LERC,ACES,,,,,,,,,,,,,,
lftp,Rockfish,,,,,,,,,,,,,,
libaec,ACES,,,,,,,,,,,,,,
libaio-0.3.110-gcc-9.3.0-n4f6zic,KyRIC,,,,,,,,,,,,,,
libarchive,ACES,,,,,,,,,,,,,,
libbsd-0.10.0-gcc-9.3.0-3feqfmu,KyRIC,,,,,,,,,,,,,,
libcap-devel,OOKAMI,,,,,,,,,,,,,,
libcerf,ACES,,,,,,,,,,,,,,
libdap,ACES,,,,,,,,,,,,,,
libdeflate,ACES,,,,,,,,,,,,,,
libdrm,ACES,,,,,,,,,,,,,,
libedit-3.1-20191231-gcc-9.3.0-vx2pxkm,KyRIC,,,,,,,,,,,,,,
libepoxy,ACES,,,,,,,,,,,,,,
libevent,"ACES, Rockfish",,,,,,,,,,,,,,
libevent-2.1.12-gcc-9.3.0-3cujlr5,KyRIC,,,,,,,,,,,,,,
libfabric,"OOKAMI, Stampede-2, Anvil, ACES, Delta, Rockfish",,,,,,,,,,,,,,
"libfabric, libflame","OOKAMI, ACES, Delta",,,,,,,,,,,,,,
libffi,KyRIC,,,,,,,,,,,,,,
libffi-3.3-gcc-9.3.0-k4ehr4i,"Stampede-2, Anvil",,,,,,,,,,,,,,
libflame,"OOKAMI, ACES, Rockfish",,,,,,,,,,,,,,
libgd,ACES,,,,,,,,,,,,,,
libgeotiff,ACES,,,,,,,,,,,,,,
libgit2,ACES,,,,,,,,,,,,,,
libGLU,"ACES, Rockfish",,,,,,,,,,,,,,
libglvnd,KyRIC,,,,,,,,,,,,,,
libgpg-error-1.37-gcc-9.3.0-aezalnn,ACES,,,,,,,,,,,,,,
libgpuarray,"Anvil, ACES",,,,,,,,,,,,,,
libiconv,KyRIC,,,,,,,,,,,,,,
libiconv-1.16-gcc-9.3.0-rh6ayrz,KyRIC,,,,,,,,,,,,,,
libidn2-2.3.0-gcc-9.3.0-aqhzlnl,"ACES, Rockfish",,,,,,,,,,,,,,
libint,Rockfish,,,,,,,,,,,,,,
libjpeg,ACES,,,,,,,,,,,,,,
libjpeg-turbo,"Stampede-2, Anvil, Rockfish",,,,,,,,,,,,,,
libmesh,"OOKAMI, Anvil",,,,,The libMesh library provides a framework for the numerical simulation of partial differential equations using arbitrary unstructured discretizations on serial and parallel platforms.,,,,,,,/apps/spack/anvil/apps/libmesh/1.6.2-gcc-11.2.0-xlcyued/bin,,
libnotify,ACES,,,,,,,,,,,,,,
libogg,ACES,,,,,,,,,,,,,,
libopus,Rockfish,,,,,,,,,,,,,,
libpam,"ACES, Rockfish",,,,,,,,,,,,,,
libpciaccess,KyRIC,,,,,,,,,,,,,,
libpciaccess-0.16-gcc-9.3.0-fcifgo6,"OOKAMI, ACES, Rockfish",,,,,,,,,,,,,,
libpng,"ACES, Rockfish",,,,,,,,,,,,,,
libreadline,"ACES, Rockfish",,,,,,,,,,,,,,
librsvg,KyRIC,,,,,,,,,,,,,,
libseccomp-2.3.3-gcc-9.3.0-qbxca3c,KyRIC,,,,,,,,,,,,,,
libsigsegv-2.12-gcc-9.3.0-ieiqle7,ACES,,,,,,,,,,,,,,
libsndfile,"ACES, Rockfish",,,,,,,,,,,,,,
libsodium,Anvil,,,,,,,,,,,,,,
libszip,"Anvil, ACES, Rockfish",,,,,,,,,,,,,,
libtiff,"ACES, Delta, Rockfish",,,,,,,,,,,,,,
libtirpc,ACES,,,,,,,,,,,,,,
libtool,KyRIC,,,,,,,,,,,,,,
libtool-2.4.6-gcc-9.3.0-nercunn,KyRIC,,,,,,,,,,,,,,
libunistring-0.9.10-gcc-9.3.0-ht5mbj6,"OOKAMI, ACES",,,,,,,,,,,,,,
libunwind,Anvil,,,,,,,,,,,,,,
libv8,ACES,,,,,,,,,,,,,,
libvorbis,ACES,,,,,,,,,,,,,,
libvori,ACES,,,,,,,,,,,,,,
libwebp,"Anvil, Rockfish",,,,,,,,,,,,,,
libx11,"OOKAMI, ACES, Rockfish",,,,,,,,,,,,,,
libxc,Rockfish,,,,,,,,,,,,,,
libxcb,Rockfish,,,,,,,,,,,,,,
libXinerama,Rockfish,,,,,,,,,,,,,,
libxkbcommon,"Anvil, ACES, Rockfish",,,,,,,,,,,,,,
libxml2,KyRIC,,,,,,,,,,,,,,
libxml2-2.9.10-gcc-9.3.0-pwkeovr,ACES,,,,,,,,,,,,,,
libxslt,"ACES, Rockfish",,,,,,,,,,,,,,
libxsmm,ACES,,,,,,,,,,,,,,
libyaml,ACES,,,,,,,,,,,,,,
lifelines,"OOKAMI, KyRIC",,,,,,,,,,,,,,
likwid,OOKAMI,,,,,,,,,,,,,,
linaro,Rockfish,,,,,,,,,,,,,,
linasm,ACES,,,,,,,,,,,,,,
LittleCMS,OOKAMI,,,,,,,,,,,,,,
lldb,"OOKAMI, ACES, Delta, Rockfish",,,,,,,,,,,,,,
LLVM,ACES,,,,,,,,,,,,,,
LMDB,"Stampede-2, ACES",,,,,,,,,,,,,,
lmod,Rockfish,,,,,,,,,,,,,,
localres,Stampede-2,,,,,,,,,,,,,,
loki,Bridges-2,,,,,,,,,,,,,,
lowcharts,"Stampede-2, Rockfish",,,,,,,,,,,,,,
LS-DYNA,Bridges-2,application,Simulation,Engineering,,"Ansys LS-DYNA is the industry-leading explicit simulation software used for applications like drop tests, impact and penetration, smashes and crashes, occupant safety, and more.",https://lsdyna.ansys.com/,https://lsdyna.ansys.com/manuals/,,,,,,,
LSMS,Stampede-2,,,,,,,,,,,,,,
ltools,"Expanse, OOKAMI, ACES",,,,,,,,,,,,,,
lua,Stampede-2,,,,,,,,,,,,,,
luatools,DARWIN,,,,,,,,,,,,,,
Lumerical,KyRIC,,,,,,,,,,,,,,
lvm2-2.03.05-gcc-9.3.0-nkbdv7u,ACES,,,,,,,,,,,,,,
lxml,"OOKAMI, ACES",,,,,,,,,,,,,,
lz4,ACES,,,,,,,,,,,,,,
M4,KyRIC,,Utilties,,,,,,,,,,,,
m4-1.4.18-gcc-9.3.0-ry5xd5i,ACES,,Utilties,,,,,,,,,,,,
maeparser,ACES,,,,,,,,,,,,,,
Magics,ACES,,,,,,,,,,,,,,
magma,"KyRIC, ACES",,,,,,,,,,,,,,
make,ACES,,Utilties,,,,,,,,,,,,
makeinfo,ACES,,Utilties,,,,,,,,,,,,
Mako,Rockfish,,,,,,,,,,,,,,
mamba,Stampede-2,,,,,,,,,,,,,,
map_skx,Rockfish,,,,,,,,,,,,,,
MARCC_intel,Rockfish,,,,,,,,,,,,,,
MARS,"Stampede-2, DARWIN, Rockfish",,,,,,,,,,,,,,
Mathematica,ACES,,,,,,,,,,,,,,
MATIO,"Jetstream2, Expanse, OOKAMI, Stampede-2, DARWIN, Bridges-2, Rockfish",Library,,,,Matio is an open-source C library for reading and writing binary MATLAB MAT files. This library is designed for use by programs/libraries that do not have access or do not want to rely on MATLAB's shared libraries.,https://github.com/tbeu/matio,https://github.com/tbeu/matio,,,,,,,
MATLAB,Delta,,Programming Language,,,"MATLAB is a programming and numeric computing platform used by millions of engineers and scientists to analyze data, develop algorithms, and create models.",https://www.mathworks.com/products/matlab.html,https://www.mathworks.com/help/matlab/,,,,,,,
matlab_unlicensed,"DARWIN, ACES",,,,,,,,,,,DARWIN: https://docs.hpc.udel.edu/software/matlab/matlab,,,
Matplotlib,Rockfish,,,,,,,,,,,,,,
maven,Bridges-2,,,,,,,,,,,,,,
MCell,Stampede-2,,,,,,,,,,,,,,
mcr,Rockfish,,,,,,,,,,,,,,
mdanalysis,Stampede-2,,,,,,,,,,,,,,
meep,Rockfish,,,,,Meep (or MEEP) is a free finite-difference time-domain (FDTD) simulation software package developed at MIT to model electromagnetic systems.,,,,,,,/apps/spack/anvil/apps/meep/1.20.0-gcc-11.2.0-aqorahj/bin,,
megalodon,Rockfish,,,,,,,,,,,,,,
MELT,Bridges-2,,,,,,,,,,,,,,
MEME Suite,ACES,,,,,,,,,,,,,,
MemoryViewer,"Expanse, OOKAMI",,,,,,,,,,,,,,
mercurial,"ACES, Rockfish, Rockfish",,,,,,,,,,,,,,
Mesa,ACES,,,,,,,,,,,,,,
Meson,Bridges-2,,,,,,,,,,,,,,
Methylpy,"Stampede-2, ACES, Rockfish",,,,,,,,,,,,,,
metis,ACES,,,,,,,,,,,,,,
Miniconda3,"KyRIC, Bridges-2",,,,,,,,,,,,,,
MKL,KyRIC,,Intel Math Library,Engineering,,,,,,,,,,,
mkl32,Stampede-2,,Intel Math Library,Engineering,,,,,,,,,,,
mkmod,Delta,,,,,,,,,,,,,,
modtree,OOKAMI,,,,,,,,,,,,,,
module-git,OOKAMI,,,,,,,,,,,,,,
module-info,ACES,,,,,,,,,,,,,,
MONAI,Jetstream2,,,,,,,,,,,,,,
Mongo,Anvil,,,,,,,,,,,,,,
monitor,Rockfish,,,,,,,,,,,,,,
morpheus,ACES,,,,,,,,,,,,,,
motif,"Anvil, Rockfish",,,,,,,,,,,,,,
mpc,KyRIC,,,,,,,,,,,,,,
mpc-1.1.0-gcc-9.3.0-vqwlz4l,"OOKAMI, Anvil, ACES, Rockfish",,,,,,,,,,,,,,
mpfr,KyRIC,,,,,,,,,,,,,,
mpfr-4.0.2-gcc-9.3.0-qfh5u7a,"KyRIC, DARWIN, Bridges-2",,,,,,,,,,,,,,
MPI,"OOKAMI, DARWIN, ACES",N/A,,,,MPI defines a protocol and library specifications for message passing and data communication between multiple nodes in a parallel computing environment. ,https://www.mpi-forum.org/,https://www.mpi-forum.org/docs/,,,,DARWIN: https://docs.hpc.udel.edu/software/openmpi/openmpi,,,
Mpi4py,Rockfish,,,,,,,,,,,,,,
mpiBench,"OOKAMI, KyRIC, Delta",,,,,,,,,,,,,,
mpich,Rockfish,Library,,,,"MPICH is a high-performance and widely portable implementation of the Message Passing Interface (MPI) standard (MPI-1, MPI-2 and MPI-3).",https://www.mpich.org/,https://www.mpich.org/static/docs/latest/,,,,,,,
msrsync,Rockfish,,,,,,,,,,,,,,
mummer,"Stampede-2, ACES",,,,,,,,,,,,,,
mumps,Bridges-2,,,,,,,,,,,,,,
MVAPICH,Delta,LIbrary,,,,"The MVAPICH2 software, based on MPI 3.1 standard, delivers the best performance, scalability and fault tolerance for high-end computing systems and servers using InfiniBand, Omni-Path, Ethernet/iWARP, RoCE(v1/v2), Cray Slingshot 10 and 11, and Rockport Networks networking technologies.",https://mvapich.cse.ohio-state.edu/,https://mvapich.cse.ohio-state.edu/static/media/mvapich/quick-3.0b.html,,,,,,,
mvapich-3.0b_s11,"OOKAMI, KyRIC",LIbrary,,,,"The MVAPICH2 software, based on MPI 3.1 standard, delivers the best performance, scalability and fault tolerance for high-end computing systems and servers using InfiniBand, Omni-Path, Ethernet/iWARP, RoCE(v1/v2), Cray Slingshot 10 and 11, and Rockport Networks networking technologies.",https://mvapich.cse.ohio-state.edu/,https://mvapich.cse.ohio-state.edu/static/media/mvapich/quick-3.0b.html,,,,,,,
mvapich2,Delta,LIbrary,,,,"The MVAPICH2 software, based on MPI 3.1 standard, delivers the best performance, scalability and fault tolerance for high-end computing systems and servers using InfiniBand, Omni-Path, Ethernet/iWARP, RoCE(v1/v2), Cray Slingshot 10 and 11, and Rockport Networks networking technologies.",https://mvapich.cse.ohio-state.edu/,https://mvapich.cse.ohio-state.edu/static/media/mvapich/mvapich2-userguide.pdf,,,,,,,
mvapich2-3.0a_s11,"Jetstream2, Rockfish",LIbrary,,,,"The MVAPICH2 software, based on MPI 3.1 standard, delivers the best performance, scalability and fault tolerance for high-end computing systems and servers using InfiniBand, Omni-Path, Ethernet/iWARP, RoCE(v1/v2), Cray Slingshot 10 and 11, and Rockport Networks networking technologies.",https://mvapich.cse.ohio-state.edu/,https://mvapich.cse.ohio-state.edu/static/media/mvapich/mvapich2-userguide.pdf,,,,,,,
mysql,"OOKAMI, Stampede-2, DARWIN, Bridges-2, Rockfish",LIbrary,,,,,,,,,,,,,
NAMD,Delta,,,Sciences,Chemistry,NAMD is a parallel molecular dynamics code designed for high-performance simulation of large biomolecular systems.,https://www.ks.uiuc.edu/Research/namd/,https://www.ks.uiuc.edu/Research/namd/3.0/ug/,,,,,NAMDis a parallel molecular dynamics code designed for high-performance simulation of large biomolecular systems.,,
namd3,Rockfish,Package,,Sciences,Chemistry,NAMD is a parallel molecular dynamics code designed for high-performance simulation of large biomolecular systems.,https://www.ks.uiuc.edu/Research/namd/alpha/3.0alpha/,https://www.ks.uiuc.edu/Research/namd/3.0/ug/,,,,,,,
nanopolish,ACES,,,,,,,,,,,,,,
NASM,ACES,,,,,,,,,,,,,,
ncbi-vdb,ACES,,,,,,,,,,,,,,
NCCL,Rockfish,,,,,,,,,,,,,,
ncdf4,"OOKAMI, Bridges-2, Rockfish",,,,,,,,,,,,,,
Ncdu,Stampede-2,,,,,,,,,,,,,,
ncl_ncarg,"Stampede-2, ACES, Rockfish",,,,,,,,,,,,,,
nco,"OOKAMI, ACES, Rockfish",,,,,,,,,,,,,,
ncurses,KyRIC,,,,,,,,,,,,,,
ncurses-6.2-gcc-9.3.0-mntyciy,"Stampede-2, Anvil, Bridges-2, Rockfish",,,,,,,,,,,,,,
ncview,"OOKAMI, Stampede-2, Anvil, ACES",,,,,,,,,,,,,,
netcdf,"Anvil, Delta, Rockfish",LIbrary,,Engineering,,"The Unidata network Common Data Form (netCDF) is an interface for scientific data access and a freely-distributed software library that provides an implementation of the interface. The netCDF library also defines a machine-independent format for representing scientific data. Together, the interface, library, and format support the creation, access, and sharing of scientific data. Description Source=https://docs.unidata.ucar.edu/netcdf-c/current/",https://docs.unidata.ucar.edu/netcdf-c/current/,https://docs.unidata.ucar.edu/netcdf-c/current/tutorial_8dox.html,,,,,,,
netcdf-c,ACES,LIbrary,,Engineering,,"The Unidata network Common Data Form (netCDF) is an interface for scientific data access and a freely-distributed software library that provides an implementation of the interface. The netCDF library also defines a machine-independent format for representing scientific data. Together, the interface, library, and format support the creation, access, and sharing of scientific data.Description Source=https://docs.unidata.ucar.edu/netcdf-c/current/",https://docs.unidata.ucar.edu/netcdf-c/current/,https://docs.unidata.ucar.edu/netcdf-c/current/tutorial_8dox.html,,,,,,,
netCDF-C++4,Anvil,LIbrary,,Engineering,,"NetCDF-C++4 is a C++ library providing an interface to the Network Common Data Form (netCDF), which is a set of software libraries and machine-independent data formats for the creation, access, and sharing of array-oriented scientific data. This library enables C++ applications to easily interact with netCDF data files, offering functionalities for reading, writing, and manipulating data in the netCDF format, widely used in various scientific and engineering fields. Description Source=https://docs.unidata.ucar.edu/netcdf-c/current/",https://unidata.github.io/netcdf-cxx4/index.html,https://unidata.github.io/netcdf-cxx4/index.html,,,,,,,
netcdf-cxx4,"Anvil, ACES, Delta, Rockfish",LIbrary,,Engineering,,"NetCDF-CXX4 is a C++ library providing an interface to the Network Common Data Form (netCDF), which is a set of software libraries and machine-independent data formats for the creation, access, and sharing of array-oriented scientific data. This library enables C++ applications to easily interact with netCDF data files, offering functionalities for reading, writing, and manipulating data in the netCDF format, widely used in various scientific and engineering fields. Description Source=https://docs.unidata.ucar.edu/netcdf-c/current/",https://unidata.github.io/netcdf-cxx4/index.html,https://unidata.github.io/netcdf-cxx4/index.html,,,,,,,
netcdf-fortran,ACES,Library,,Engineering,,"The Unidata network Common Data Form (netCDF) is an interface for scientific data access and a set of freely-distributed software libraries that provide an implementation of the interface. The netCDF library also defines a machine-independent format for representing scientific data. Together, the interface, library, and format support the creation, access, and sharing of scientific data. This software package provides Fortran application interfaces for accessing netCDF data. Description Source=https://docs.unidata.ucar.edu/netcdf-c/current/",https://docs.unidata.ucar.edu/netcdf-fortran/current/,https://docs.unidata.ucar.edu/netcdf-fortran/current/nc_f77_interface_guide.html,,,,,/apps/spack/anvil/apps/netcdf-fortran/4.5.3-gcc-11.2.0-fjpmv2v/bin,,
netcdf4-python,"Anvil, Rockfish",Library,,Engineering,,"netcdf4-python is a Python interface to the netCDF C library. This module can read and write files in both the new netCDF 4 and the old netCDF 3 format, and can create files that are readable by HDF5 clients.",https://unidata.github.io/netcdf4-python/,https://unidata.github.io/netcdf4-python/,,,,,,,
netlib-lapack,Rockfish,,Scientific Library,,,,,,,,,,,,
netlib-scalapack,Rockfish,,Scientific Library,,,,,,,,,,,,
netpbm,ACES,,,,,,,,,,,,,,
nettle,ACES,,,,,,,,,,,,,,
networkx,"Bridges-2, Rockfish, Rockfish",,Python Library,,,,,,,,,,,,
nextflow,Rockfish,Workflow Management System,Utilities,,,Nextflow enables scalable and reproducible scientific workflows using software containers. It allows the adaptation of pipelines written in the most common scripting languages. Description Source=https://www.nextflow.io/,https://www.nextflow.io/,https://www.nextflow.io/docs/latest/index.html,,,,,,,
ngmlr,ACES,,,,,,,,,,,,,,
NiBabel,"OOKAMI, ACES",,,,,,,,,,,,,,
ninja,ACES,,,,,,,,,,,,,,
nlohmann_json,ACES,,,,,,,,,,,,,,
NLopt,ACES,,,,,,,,,,,,,,
nodejs,ACES,,,,,,,,,,,,,,
NSPR,ACES,,,,,,,,,,,,,,
NSS,ACES,,,,,,,,,,,,,,
nsync,OOKAMI,,,,,,,,,,,,,,
null,"Anvil, ACES, Rockfish",,,,,,,,,,,,,,
numactl,KyRIC,,,,,,,,,,,,,,
numactl-2.0.14-gcc-9.3.0-x4anv2g,ACES,,,,,,,,,,,,,,
numba,Bridges-2,,,,,,,,,,,,,,
numpy,"ACES, Delta, Bridges-2, Rockfish",Library,Python Library,,,"NumPy is the fundamental package for scientific computing in Python. It is a Python library that provides a multidimensional array object, various derived objects (such as masked arrays and matrices), and an assortment of routines for fast operations on arrays, including mathematical, logical, shape manipulation, sorting, selecting, I/O, discrete Fourier transforms, basic linear algebra, basic statistical operations, random simulation and much more. Description Source=https://numpy.org/doc/stable/user/whatisnumpy.html",https://numpy.org/,https://numpy.org/doc/stable/user/index.html#user,,,,,,,
NVHPC,Rockfish,,Nvidia Toolkit,,,,,,,,,,,,
nvhpc_latest,Delta,,Nvidia Toolkit,,,,,,,,,,,,
nvhpc-gcc,OOKAMI,,Nvidia Toolkit,,,,,,,,,,,,
nvidia,Jetstream2,,,,,,,,,,,,,,
NVIDIA Compiler,ACES,,Nvidia Toolkit,,,,,,,,,,,,
nvidia-container-cli,Rockfish,,Nvidia Toolkit,,,,,,,,,,,,
nvidia-system-monitor-qt,Rockfish,,Nvidia Toolkit,,,,,,,,,,,,
nvitop,ACES,,,,,,,,,,,,,,
NVSHMEM,Delta,,,,,,,,,,,,,,
nvtop,"Stampede-2, Bridges-2",,,,,,,,,,,,,,
NWCHEM,KyRIC,Software,,,Chemistry,"NWChem provides many methods for computing the properties of molecular and periodic systems using standard quantum mechanical descriptions of the electronic wavefunction or density. Its classical molecular dynamics capabilities provide for the simulation of macromolecules and solutions, including the computation of free energies using a variety of forcefields. These approaches may be combined to perform mixed quantum-mechanics and molecular-mechanics simulations. Description Source=https://raw.githubusercontent.com/wiki/nwchemgit/nwchem/Capabilities.md",https://www.nwchem-sw.org/,https://github.com/nwchemgit/nwchem/wiki,,,,,/apps/spack/anvil/apps/nwchem/7.0.2-gcc-11.2.0-i5bbhmx/bin,,
oclfpga,Stampede-2,,,,,,,,,,,,,,
Octave,"OOKAMI, Bridges-2",,Programing Language,Engineering,Mathematics,,https://octave.org/,https://docs.octave.org/latest/,,,,,,,
ohpc,KyRIC,,,,,,,,,,,,,,
omb,KyRIC,,,,,,,,,,,,,,
ondemand,"Bridges-2, Rockfish",,,,,,,,,,,,,,
ondemand-vnc,Rockfish,,,,,,,,,,,,,,
oneapi_rk,Stampede-2,,Intel Compiler,,,,,,,,,,,,
oneTBB,Rockfish,,,,,,,,,,,,,,
ont-guppy,Rockfish,,,,,,,,,,,,,,
ooops,Stampede-2,,,,,,,,,,,,,,
openbabel,"ACES, Rockfish",,Bioinformatics,,,,,,,,,,,,
OpenBLAS,"OOKAMI, Anvil, ACES, Bridges-2, Rockfish",Library,,Engineering,Mathematics,"OpenBLAS is a high-performance library for dense linear algebra operations, optimized for high-speed and efficient execution on various hardware architectures. OpenBLAS is widely used in scientific computing, engineering, and machine learning for operations such as matrix multiplication, solving linear systems, and other vector and matrix operations, offering significant performance improvements over generic BLAS implementations.",https://www.openblas.net/,https://github.com/OpenMathLib/OpenBLAS/wiki/User-Manual,,,,,,,
openblas-0.3.13-gcc-9.3.0-mfzw4tk,KyRIC,,,,,,,,,,,,,,
opencarp,Rockfish,,,,,,,,,,,,,,
OpenCV,"ACES, Bridges-2",,,,,,,,,,,,,,
OpenEXR,ACES,,,,,,,,,,,,,,
openfoam,"OOKAMI, Stampede-2, DARWIN, ACES, Bridges-2",Software,"Simulation, Fluid Dynamics",Engineering,Mechanical Engineering,"OpenFOAM is the free, open source CFD software developed primarily by OpenCFD Ltd since 2004. It has an extensive range of features to solve anything from complex fluid flows involving chemical reactions, turbulence and heat transfer, to acoustics, solid mechanics and electromagnetics. Description Source=https://www.openfoam.com/",https://www.openfoam.com/,https://www.openfoam.com/documentation/overview,,,,DARWIN: https://docs.hpc.udel.edu/software/openfoam/openfoam,/apps/spack/anvil/external/openfoam/OpenFOAM-8_2021.1025/OpenFOAM-8-20210316/wmake,,
openfoam-org,Rockfish,,,Engineering,Mechanical Engineering,,,,,,,,,,
OpenFold,ACES,,,,,,,,,,,,,,
openjdk,"Anvil, Rockfish",,,,,,,,,,,,,,
openjdk-11.0.8_10-gcc-9.3.0-5ki5g5i,KyRIC,,,,,,,,,,,,,,
OpenJPEG,ACES,,,,,,,,,,,,,,
openldap,OOKAMI,,,,,,,,,,,,,,
openmm,"ACES, Rockfish",,,,,,,,,,,,,,
OpenMPI,"Expanse, OOKAMI, ACES, Bridges-2, Rockfish",Library,,,,"The Open MPI Project is an open source implementation of the Message Passing Interface (MPI) specification that is developed and maintained by a consortium of academic, research, and industry partners. Open MPI is therefore able to combine the expertise, technologies, and resources from all across the High Performance Computing community in order to build the best MPI library available. Description Source=https://www.open-mpi.org/",https://www.open-mpi.org/,https://www.open-mpi.org/doc/,,,,,,,
openmpi-4.0.4-gcc-9.3.0-ejhqibc,KyRIC,Library,,,,"The Open MPI Project is an open source implementation of the Message Passing Interface (MPI) specification that is developed and maintained by a consortium of academic, research, and industry partners. Open MPI is therefore able to combine the expertise, technologies, and resources from all across the High Performance Computing community in order to build the best MPI library available. Description Source=https://www.open-mpi.org/",https://www.open-mpi.org/software/ompi/v4.0/,https://www.open-mpi.org/doc/v4.0/,,,,,,,
openmpi-4.0.5-gcc-9.3.0-ylywa5h,KyRIC,Library,,,,"The Open MPI Project is an open source implementation of the Message Passing Interface (MPI) specification that is developed and maintained by a consortium of academic, research, and industry partners. Open MPI is therefore able to combine the expertise, technologies, and resources from all across the High Performance Computing community in order to build the best MPI library available.",https://www.open-mpi.org/software/ompi/v4.0/,https://www.open-mpi.org/doc/v4.0/,,,,,,,
openmpi-5.0_beta,Delta,Library,,,,"The Open MPI Project is an open source implementation of the Message Passing Interface (MPI) specification that is developed and maintained by a consortium of academic, research, and industry partners. Open MPI is therefore able to combine the expertise, technologies, and resources from all across the High Performance Computing community in order to build the best MPI library available. Description Source=https://www.open-mpi.org/",https://www.open-mpi.org/software/ompi/v5.0/,https://docs.open-mpi.org/en/v5.0.x/,,,,,,,
openmpi4,KyRIC,Library,,,,"The Open MPI Project is an open source Message Passing Interface implementation that is developed and maintained by a consortium of academic, research, and industry partners. Open MPI is therefore able to combine the expertise, technologies, and resources from all across the High Performance Computing community in order to build the best MPI library available. Description Source=https://www.open-mpi.org/",https://www.open-mpi.org/software/ompi/v4.0/,https://www.open-mpi.org/doc/v4.0/,,,,,,,
openms,Rockfish,,,,,,,,,,,,,,
OpenPGM,ACES,,,,,,,,,,,,,,
OpenSceneGraph,ACES,,,,,,,,,,,,,,
opensees,"Stampede-2, Rockfish",,,,,,,,,,,,,,
openssh-8.4p1-gcc-9.3.0-tp56hha,KyRIC,,Utilties,,,,,,,,,,,,
openssl,"OOKAMI, ACES",,Utilties,,,,,,,,,,,,
openssl-1.1.1j-gcc-9.3.0-cx56ot2,KyRIC,,Utilties,,,,,,,,,,,,
opensycl,OOKAMI,,,,,,,,,,,,,,
Optuna,ACES,,,,,,,,,,,,,,
orca,"Bridges-2, Rockfish",Package,Quantum Chemistry,,Chemistry,"ORCA is a flexible, efficient and easy-to-use general purpose tool for quantum chemistry with specific emphasis on spectroscopic properties of open-shell molecules. It features a wide variety of standard quantum chemical methods ranging from semiempirical methods to DFT to single- and multireference correlated ab initio methods. Description Source=https://www.kofo.mpg.de/en/research/services/orca",https://www.kofo.mpg.de/en/research/services/orca,https://www.kofo.mpg.de/412442/orca_manual-opt.pdf,,,,,,,
os,KyRIC,,,,,,,,,,,,,,
ospray,Stampede-2,,,,,,,,,,,,,,
osu-micro-benchmarks,Delta,,,,,,,,,,,,,,
own,Rockfish,,,,,,,,,,,,,,
p3dfft,Stampede-2,,,,,,,,,,,,,,
p4est,Stampede-2,,,,,,,,,,,,,,
p7zip,OOKAMI,,,,,,,,,,,,,,
pam-devel,Rockfish,,,,,,,,,,,,,,
pandoc,Rockfish,,,,,,,,,,,,,,
pango,"ACES, Rockfish",,,,,,,,,,,,,,
panoply,Anvil,,,,,,,,,,,,,,
papi,"OOKAMI, Stampede-2, Anvil, KyRIC",,,,,,,,,,,,,,
Parabricks,ACES,,,,,,,,,,,,,,
parafly,Anvil,,,,,,,,,,,,,,
parallel,"Expanse, Delta, Rockfish",,,,,,,,,,,,,,
parallel-netcdf,"Stampede-2, Anvil, Delta, Rockfish",,,,,"PnetCDF (Parallel netCDF) is a high-performance parallel I/O library for accessing files in format compatibility with Unidata's NetCDF, specifically the formats of CDF-1, 2, and 5.",,,,,,,/apps/spack/anvil/apps/parallel-netcdf/1.11.2-gcc-11.2.0-2nqmhn3/bin,,
Paraview,"Stampede-2, DARWIN, ACES, Delta, Rockfish",application,,Engineering,,"ParaView is an open-source, multi-platform scientific data analysis and visualization tool that enables analysis and visualization of extremely large datasets. Description Source=https://docs.paraview.org/en/latest/UsersGuide/introduction.html",https://docs.paraview.org/en/latest/,https://docs.paraview.org/en/latest/UsersGuide/index.html,,,,DARWIN: https://docs.hpc.udel.edu/software/paraview/paraview,,,
paraview-osmesa,Stampede-2,,,,,,,,,,,,,,
