software name,RP Name,Description,core features,tags,software type,software class,research field,research area,research discipline,Software's Web Page,Software Documentation,Tutorials
dnaapler,anvil,dnaapler is a bioinformatics tool for predicting DNA replication origins in microbial genomes. It uses machine learning models trained on replication initiation sites to identify potential origins of replication.,"1. Prediction of DNA replication origins
2. Machine learning-based approach
3. Identification of replication initiation sites in microbial genomes","Bioinformatics, Tool, DNA Replication, Genomics",Prediction Tool,Bioinformatics Tool,Biological Sciences,Bioinformatics,Genomics,,,
advisor,"kyric, stampede3","Advisor is a comprehensive software tool designed for optimizing HPC applications and maximizing performance on current and future HPC systems. It offers insights into performance bottlenecks, parallel patterns, and potential improvements.","Performance optimization for HPC applications, Identifying performance bottlenecks, Analyzing parallel patterns, Recommendations for performance improvements","HPC, Performance Optimization, Parallel Computing",Performance Optimization,Tool,Engineering and Technology,,,https://www.intel.com/content/www/us/en/developer/tools/oneapi/advisor.html#gs.5i029o,https://www.intel.com/content/www/us/en/docs/advisor/user-guide/2023-0/overview.html,
any2fasta,"anvil, faster","any2fasta is a tool for converting sequence data in various formats to the standard FASTA format. It allows users to easily convert DNA, RNA, protein sequences, and other biological sequence data into the FASTA format for compatibility with a wide range of bioinformatics tools and databases.","1. Convert sequence data to FASTA format
2. Support for DNA, RNA, protein sequences
3. Compatible with a variety of sequence data formats
4. Simple and user-friendly interface for quick conversions","sequence data, FASTA format, bioinformatics",Bioinformatics Tool,Data Conversion,Natural Sciences,Genetics,Biological Sciences,,,
py-pysam,expanse,"PyPysam is a Python module that provides an interface to the SAM/BAM sequence alignment and variant calling format files. It allows for easy reading, writing, and manipulation of such files, enabling bioinformatics analysis and processing of high-throughput sequencing data.",1. Reading and writing SAM/BAM files. 2. Accessing aligned sequences and associated metadata. 3. Extracting alignment statistics. 4. Handling variant calling information. 5. Performing coordinate transformations and conversions.,"bioinformatics, sequencing, alignment, variant-calling",Library,Bioinformatics tool,Biological Sciences,Molecular Biology,Genetics,,,
r-registry,expanse,"r-registry is a package registry for the R programming language. It provides a central repository for discovering, sharing, and reusing R packages within the R community.","Central repository for R packages, Discovery of R packages, Sharing and reusing R packages","package registry, R programming language, R packages",Tool,Package Registry,"Computer and Information Sciences, Computer Science",,,,,
snp-dists,anvil,snp-dists is a tool used for calculating SNP distances between genomes. It is particularly useful for analyzing bacterial genomes and identifying genetic variations.,"Calculates SNP distances between genomes, Works well with bacterial genomes, Identifies genetic variations, Useful for phylogenetic analysis, Supports input in various formats","Genomics, Bioinformatics, Sequence Analysis, Phylogenetics",Analysis Tool,Bioinformatics Tool,Biological Sciences,Genetic Variation,Genomics,,,
intel-tbb32,bridges,Intel Threading Building Blocks (TBB) is a widely-used C++ library for parallelism. It provides a way to write parallel C++ programs that take full advantage of multi-core processors.,"1. Parallel algorithms and containers for C++.
2. Task scheduler framework for managing parallel workloads.
3. Scalability features for efficient multi-core utilization.
4. Portable and easy-to-use API for developers.","parallelism, C++, multi-core, library",Library,Development Tools,"Computer and Information Sciences, Computer Science, Applied Computer Science",,,,,
qwt,"aces, faster",Qwt is a robust library for developing Qt applications that require 2D plotting and data visualization. It provides a set of classes and functions for creating various types of plots and graphs with different customization options.,"1. Support for various plot types such as curves, bars, histograms, scatter plots, etc.
2. Customizable plotting attributes including axis scaling, labeling, and styling.
3. Integration with Qt's event handling mechanisms for interactive plots.
4. Exporting plots to different image formats like PNG, JPEG, EPS, etc.
5. Extensive documentation and examples to assist developers in using the library effectively.","2D plotting, Data visualization, Qt applications",Libraries,Visualization and Human-Computer Systems,Engineering and Technology,,,,,
nf-core,anvil,"NF-core is a collection of community curated Nextflow pipelines available for genomics, transcriptomics, and other bioinformatics analyses. It provides a collection of best practices workflows that are highly optimized, scalable, and easy to use.","1. Community-curated Nextflow pipelines
2. Best practices workflows for genomics and transcriptomics analyses
3. Highly optimized and scalable
4. Easy to use and customize for specific research needs","bioinformatics, workflow management, nextflow, genomics, transcriptomics",Data Analysis Tool,Workflow Management,Biological Sciences,"Genomics, Transcriptomics",Bioinformatics,,,
scvi-tools,anvil,"scvi-tools is a comprehensive toolbox for deep probabilistic modeling, batch effect correction, clustering, differential expression, and visualization in single-cell RNA-seq data analysis. It provides a flexible and scalable framework for integrating multiple data modalities and capturing uncertainty in high-dimensional genomics data.","Deep probabilistic modeling, Batch effect correction, Clustering, Differential expression analysis, Visualization tools","single-cell RNA-seq, data analysis, genomics, bioinformatics",Python library,Data analysis tool,Biological Sciences,Single-cell RNA-seq data analysis,Bioinformatics,,,
phipack,anvil,"Phipack is a software package for the analysis of site-specific amino acid substitutions within multiple sequence alignments. It uses statistical methods to estimate selection pressure at individual sites, identify positive selection on specific branches of a phylogenetic tree, and detect recombination events.","Estimation of selection pressure at individual sites, Identification of positive selection on specific branches, Detection of recombination events","bioinformatics, computational biology",Analytics Tool,Bioinformatics Tool,Biological Sciences,Evolutionary Genetics,Genetics,,,
libint,"aces, faster",libint is a library for the evaluation of molecular integrals needed in computational chemistry and related fields. It provides efficient and accurate implementations for various types of integrals used in quantum chemistry calculations.,"1. Calculation of electron repulsion integrals
2. Evaluation of overlap integrals
3. Computation of kinetic energy integrals
4. Integration of nuclear-electron attraction terms
5. Supports a wide range of basis functions and molecular orbitals","computational chemistry, molecular integrals, quantum chemistry",Computational,Library,Chemical Sciences,Theoretical and Computational Chemistry,Physical chemistry,https://github.com/evaleev/libint,https://github.com/evaleev/libint/wiki,https://github.com/evaleev/libint/wiki/using-modern-CPlusPlus-API
treetime,anvil,"treetime is a flexible and efficient tool for dating phylogenetic trees. It uses a maximum-likelihood-based approach to infer ancestral dates and divergence times, allowing for the incorporation of temporal information into phylogenetic analyses.","Phylogenetic tree dating, Maximum-likelihood method, Ancestral date and divergence time inference, Incorporation of temporal information, Flexible and efficient","Phylogenetics, Evolutionary Biology, Bioinformatics, Computational Biology, Phylogenetic Analysis",Bioinformatics,Phylogenetic Dating Tool,Biological Sciences,Phylogenetics,Evolutionary Biology,,,
ncbi-table2asn,anvil,"NCBI Table2ASN is a tool provided by the National Center for Biotechnology Information (NCBI) for converting simple Sanger sequencing results and assembly annotations into ASN.1 format, which is required for submission to GenBank. It automates the process of creating sequence records with annotations and metadata that are compatible with GenBank submission standards.","Converts Sanger sequencing results and assembly annotations to ASN.1 format, Automates creation of sequence records with annotations and metadata, Ensures compatibility with GenBank submission standards","Bioinformatics, Sequence Annotation, GenBank Submission",Bioinformatics Tool,Data Management and Analysis,Biological Sciences,Bioinformatics,Biological Sciences,,,
htslib,"aces, anvil, bridges, expanse, faster","HTSlib is a C library for processing high-throughput sequencing data in the form of SAM, BAM, and CRAM formats. It allows for efficient reading, writing, and manipulation of such files, as well as various operations such as format conversion, indexing, and retrieval of specific sequences.","Support for SAM, BAM, and CRAM formats, Efficient reading and writing of sequencing data files, File format conversion and manipulation, Indexing and retrieval of sequences, Integration with other bioinformatics tools","bioinformatics, sequencing data, file format processing, C library",Data processing,Library,Biological Sciences,Next-generation sequencing,Genomics,https://www.htslib.org/,https://www.htslib.org/doc/,"https://github.com/samtools/htslib/blob/develop/htslib/hts.h , https://www.htslib.org/howtos/headers.html "
impi,"aces, anvil, faster, stampede3",impi is a high-performance message passing library that provides asynchronous messaging and queuing functionalities for parallel computing applications.,"impi offers efficient communication among processes, supports scalable performance for large-scale parallel computing, and has advanced queuing mechanisms for managing message passing in distributed computing environments.","message passing library, parallel computing, asynchronous messaging",Communication library,Library,Engineering and Technology,,,https://www.intel.com/content/www/us/en/developer/tools/oneapi/mpi-library.html#gs.5295ue,https://www.intel.com/content/www/us/en/docs/mpi-library/developer-reference-linux/2021-12/overview.html,https://www.intel.com/content/www/us/en/docs/mpi-library/get-started-guide-linux/2021-11/overview.html
iimpic,faster,iimpic is a Python library for multi-scale modeling of porous materials using the lattice Boltzmann method (LBM). It provides a versatile platform for simulating flow and transport phenomena in complex porous media.,1. Implementation of the lattice Boltzmann method for porous media simulations. 2. Multi-scale modeling capabilities. 3. User-friendly Python interface for easy implementation and customization. 4. Support for various boundary conditions and fluid-solid interactions.,"Python Library, Porous Materials, Lattice Boltzmann Method",Simulation Software,Computational Software,Physical Sciences,Condensed Matter Physics,Physical Sciences,,,
rapidjson,"aces, faster",RapidJSON is a fast JSON parser and generator for C++ with both SAX/DOM styles. It is designed to be highly memory efficient and is self-contained with no external dependencies.,"Fast parsing and generation of JSON data, Support for both SAX and DOM parsing styles, Memory efficient design, No external dependencies, Conforms to JSON standards, UTF-8 encoding support","JSON, C++, Parser, Generator, SAX, DOM, Memory Efficient",Library,Utility Library,Computer and Information Sciences,,,https://github.com/Tencent/rapidjson/,https://rapidjson.org/,"https://rapidjson.org/md_doc_tutorial.html , https://rapidjson.org/md_doc_pointer.html#BasicUsage , https://rapidjson.org/md_doc_schema.html#Basic , https://rapidjson.org/md_doc_faq.html "
graphicsmagick,"aces, faster","GraphicsMagick is a robust collection of tools and libraries that offers a comprehensive range of image processing capabilities. It provides a powerful utility for dynamically reading, writing, and modifying images for over 88 major formats.","Support for over 88 major image formats, Image processing capabilities, Extensive command-line tools, Efficient handling of large images, Color management and color space conversion","Image Processing, Graphics, Media Editing, Command-Line Tools",Image Processing Software,,Other Computer and Information Sciences,,,http://www.graphicsmagick.org/,http://www.graphicsmagick.org/GraphicsMagick.html,"http://www.graphicsmagick.org/programming.html , https://www.tutorialspoint.com/graphicsmagick-a-powerful-image-processing-cli-tool-for-linux , https://www.tecmint.com/graphicsmagick-image-processing-cli-tool-for-linux/ "
python-parasail,faster,python-parasail is a Python library providing fast implementations of sequence alignment algorithms. It offers optimized implementations of pairwise sequence alignment based on the Parasail C library.,"1. Fast implementations of sequence alignment algorithms
2. Optimized pairwise sequence alignment
3. Integration with the Parasail C library
4. Supports various alignment types such as global, semi-global, and local alignment
5. Ability to work with a wide range of substitution matrices","sequence alignment, bioinformatics, computational biology, python library",Tool,Library,Biological Sciences,Sequence Alignment,Bioinformatics,,,
dnnl,kyric,"Deep Neural Network Library (DNNL) is an open-source, performance-oriented library for deep learning applications. Formerly known as Intel Math Kernel Library for Deep Neural Networks (MKL-DNN), it provides optimized building blocks for implementation of deep learning neural network layers on various hardware platforms.",1. Efficient deep learning neural network layer implementations. 2. Open-source and highly optimized for performance. 3. Support for various hardware platforms. 4. Integration with popular deep learning frameworks like TensorFlow and PyTorch.,"deep learning, neural networks, machine learning, performance optimization",Deep Learning Library,Library,Computer and Information Sciences,Deep Learning,Artificial Intelligence and Intelligent Systems,https://github.com/oneapi-src/oneDNN,https://oneapi-src.github.io/oneDNN/,https://oneapi-src.github.io/oneDNN/dev_guide_examples.html
r-gridbase,expanse,"r-gridbase is an R package that provides basic grid functions for display and drawing. It allows for creating and manipulating grid graphics objects, such as lines, rectangles, circles, and text, to create customized plots and visualizations.","Some core features of r-gridbase include grid layout management, grid drawing functions, grid table creation and manipulation, and customization of graphical parameters. It offers flexibility in arranging multiple plots and annotations on a single display.","R package, grid graphics, visualization",Package,Graphics library,Mathematics,Mathematics,Other Mathematics,,,
gdal,"aces, anvil, darwin, expanse, faster","GDAL (Geospatial Data Abstraction Library) is a translator library for raster and vector geospatial data formats that is released under an X/MIT style Open Source license. It is a collection of geospatial data manipulation libraries that support raster and vector data formats, and includes protocols to access geospatial data sources.","Supports a wide range of raster and vector geospatial data formats, Ability to translate between different formats, Geospatial data manipulation capabilities, Source, coordinate system, and reprojection support, Can be used for data conversions, processing, analysis, and visualization","Geospatial Data, Raster Data, Vector Data, Data Formats, Geospatial Analysis",Library,Geospatial Data Processing,"Earth and Environmental Sciences, Engineering and Technology",,,https://gdal.org/,https://gdal.org/user/index.html,"https://gdal.org/tutorials/index.html , https://pcjericks.github.io/py-gdalogr-cookbook/ "
scgen,anvil,"scGen is a deep learning framework for generating bulk-level transcriptomic profiles from single-cell RNA-sequencing data. It predicts the influence of genetic and environmental factors on gene expression at a population-level, bridging the resolution gap between single-cell and bulk-level omics data.","Generates bulk-level transcriptomic profiles from scRNA-seq data, Predicts gene expression influenced by genetic and environmental factors, Bridges resolution gap between single-cell and bulk-level omics data, Utilizes deep learning techniques for modeling gene expression","single-cell RNA-sequencing, bulk-level transcriptomic profiles, deep learning, gene expression prediction",Deep learning framework,Data analysis,Biological Sciences,Genomics,Bioinformatics,,,
intel_ipp_intel64,kyric,"Intel Integrated Performance Primitives (Intel IPP) provides high-performance software libraries that are designed to help developers improve the performance of their applications. Intel IPP offers a wide range of functions that are optimized for Intel architecture, including signal, imaging, cryptography, and data processing algorithms.","1. Optimized functions for signal processing, imaging, cryptography, and data processing. 2. Support for various data formats and algorithms. 3. High performance on Intel architecture. 4. Multi-threading and SIMD support for parallel processing. 5. Integration with popular development environments and languages.","software development, performance optimization, data processing, signal processing, image processing, cryptography",commercial,library,"Computer and Information Sciences, Software Engineering, Systems, and Development",,,,,
r-colorspace,expanse,"The 'r-colorspace' package is a collection of color models and color conversion functions for R. It provides a flexible and easy-to-use environment for working with colors in various color spaces, including HCL (Hue-Chroma-Luminance), HSL (Hue-Saturation-Luminance), HSV (Hue-Saturation-Value), CIELAB, RGB, and more. This package facilitates color manipulation, transformation, and visualization for data analysis and visualization tasks.","Support for multiple color models and spaces, Color conversion functions, Color manipulation and transformation capabilities, Data visualization support, Integration with R environment","Color Models, Color Conversion, Data Visualization, R Package",Package,Data Analysis and Visualization,Other Mathematics,,,,,
graphblas,aces,GraphBLAS is a collection of high-performance linear algebraic operations specifically designed for sparse graphs and matrices.,"1. Extensive set of linear algebra operations for manipulating graph structures and sparse matrices.
2. Optimized for performing calculations on large-scale graphs efficiently.
3. Provides a flexible framework for developing graph algorithms and applications.
4. Supports a wide range of graph analytics and machine learning tasks.
5. Designed for parallel and distributed computing environments.","Graph, Linear Algebra, Sparse Matrices",Library,Computational software,Computer and Information Sciences,,,,,
spdlog,ookami,"spdlog is a header-only, feature-rich, and highly performant logging library for C++ which provides various logging outputs and log levels.","Header-only library for easy integration, Supports various logging outputs like console, file, rotating file, etc., Configurable log levels for filtering log messages, Fast and efficient logging with minimal overhead, Thread-safe logging for multithreaded applications","Logging, C++, Performance",Logging,Library,"Computer and Information Sciences, Computer Science, Software Engineering, Systems, and Development",,,https://github.com/gabime/spdlog,https://github.com/gabime/spdlog/wiki,"https://github.com/gabime/spdlog/wiki/1.-QuickStart , https://github.com/gabime/spdlog#usage-samples , https://github.com/gabime/spdlog/blob/v1.x/example/CMakeLists.txt , https://github.com/gabime/spdlog/blob/v1.x/example/example.cpp "
flex,"aces, faster, ookami","Flex is a fast lexical analyzer generator. It is a tool for creating programs that perform pattern-matching on text. It reads the given input files for a description of a scanner to generate and produces a C source file for the scanner. The output file, lex.yy.c, can then be compiled and linked with the flex runtime library to produce an executable. The resulting executable will scan input files for occurrences of the regular expressions in the scanner description, and perform actions specified in the description.","1. Generates C source code for lexical analyzers based on specified patterns.
2. Provides a fast and efficient tool for performing text pattern matching.
3. Offers flexibility in defining scanner descriptions using regular expressions and associated actions.
4. Supports the development of scanners for use in various text processing applications.","lexical analyzer, text processing, pattern matching, scanner generator",,,Computer and Information Sciences,,,https://github.com/westes/flex,https://westes.github.io/flex/manual/,"http://alumni.cs.ucr.edu/~lgao/teaching/flex.html , https://westes.github.io/flex/manual/Common-Patterns.html#Common-Patterns "
vcf-kit,anvil,"VCF-kit is a Python-based collection of tools for working with Variant Call Format (VCF) files. It provides various utilities for processing, filtering, annotating, and analyzing genetic variation data.","Manipulation of VCF files, Variant calling and annotation, Filtering and quality control of variants, Population genetics analysis, Integration with other bioinformatics tools","Bioinformatics, Computational Biology, Genomics, Variant Analysis",Data Analysis Tool,Bioinformatics Tool,Biological Sciences,Genetic Variation Analysis,Genetics,,,
open-data-cube-core,faster,"Open Data Cube (ODC) is an open-source software package that helps in the management, analysis, and visualization of large environmental and Earth observation data sets. ODC Core provides the foundational components and functionalities for working with satellite and Earth observation data.","Data ingestion and storage, Data indexing and querying, Data processing and analysis, Data visualization, Integration with Python ecosystem","Earth Observation, Data Management, Data Analysis, Data Visualization, Open Source",Software Library,Data Management/Analysis,Earth and Environmental Sciences,,,,,
r-iranges,expanse,"r-iranges is an R/Bioconductor package that provides efficient and scalable data structures to work with genomic ranges and to perform operations such as finding overlaps, nearest features, counting overlaps, and merging ranges.","Some core features of r-iranges include creating, manipulating, and querying genomic ranges efficiently, supporting various operations on genomic ranges like overlaps and nearest features, and integrating seamlessly with other Bioconductor packages for genomic data analysis.","R package, Bioconductor, Genomic Ranges, Data Analysis",Package,Computational Biology,Biological Sciences,Genomic Data Analysis,Bioinformatics,,,
transformers,faster,"Transformers is a state-of-the-art natural language processing library, which provides thousands of pre-trained models for various NLP tasks. It offers an easy-to-use API for training and fine-tuning models on custom datasets.","Pre-trained models for NLP tasks, Support for sequence classification, token classification, question answering, language modeling, and more, Easy-to-use API for model training and fine-tuning, Integration with popular deep learning frameworks like PyTorch and TensorFlow","NLP, Deep Learning, Machine Learning",Machine Learning,Library,Computer and Information Sciences,Natural Language Processing,Artificial Intelligence and Intelligent Systems,,,
typing-extensions,"aces, faster",The typing-extensions module in Python provides additional type hinting support for Python 3.7 and later. It includes type hinting classes that were proposed for inclusion in the main 'typing' module but are specifically intended for external use.,"1. Provides additional typing classes such as Protocol, TypedDict, and Literal for more advanced type hinting.
2. Enables developers to create more specific type hints for function parameters, return values, and variables.
3. Improves code readability and maintainability by specifying the expected types more precisely.","Python, Type hinting, Typing module, Type annotations",Python library,Type hinting,Computer and Information Sciences,,,https://pypi.org/project/typing-extensions/,https://typing-extensions.readthedocs.io/en/latest/,https://typing-extensions.readthedocs.io/en/latest/#runtime-use-of-types 
r-foreach,expanse,"The r-foreach package provides a simple looping construct for the R programming language, allowing users to easily parallelize and distribute operations across multiple processors or nodes. It simplifies the process of iterating over elements or data structures in parallel, enhancing the performance of R code by leveraging parallel computing capabilities.","Parallelizing loops in R, Distributing computations across multiple processors or nodes, Improving the performance of R code through parallel processing","R, Looping, Parallel Computing",Parallel Computing Tool,Library,Other Mathematics,Data Analysis,Statistics and Probability,,,
ltrpred,anvil,ltrpred is a software tool for predicting long terminal repeat retrotransposons in genomic sequences. It uses a machine learning approach to identify and annotate LTR retrotransposons.,"1. Prediction of LTR retrotransposons in genomic sequences
2. Utilizes machine learning algorithms for accurate identification
3. Annotation of LTR retrotransposons with relevant information
4. User-friendly interface for easy analysis","bioinformatics, genomics, machine learning",Prediction tool,Bioinformatics tool,Biological Sciences,,,,,
jupyter,"anvil, jetstream, ookami","Jupyter is an open-source web application that allows you to create and share documents that contain live code, equations, visualizations, and narrative text. It supports over 40 programming languages, including Python, R, and Julia, and is widely used in data science, scientific computing, and machine learning projects.","Interactive Computing, Data Visualization, Collaborative Notebooks, Support for Multiple Programming Languages","Data Science, Scientific Computing, Machine Learning",Web Application,Computational Notebook,"Computer and Information Sciences, Informatics, Analytics and Information Science",,,https://jupyter.org/,https://docs.jupyter.org/en/latest/,"https://docs.jupyter.org/en/latest/use/using.html , https://docs.jupyter.org/en/latest/start/index.html "
libxt,delta,"Libxt is a library offering extensions for automating compilation, dependency tracking, and execution of computational tasks within HPC environments.","Automated compilation of software packages, Dependency tracking for code builds, Execution of computational tasks in HPC environments, Enhanced parallel processing capabilities","Library, HPC, Automation, Compilation, Dependency tracking, Parallel processing",Library,Tool,Engineering and Technology,,,,,
souporcell,anvil,"souporcell is a tool for unsupervised clustering of single-cell RNA-seq data, helping identify and genotype mosaic cell populations.",1. Unsupervised clustering of single-cell RNA-seq data. 2. Detection and genotyping of mosaic cell populations. 3. Identification of cell type-specific genetic variants. 4. Utilizes genotype likelihoods for accurate cell identification and clustering.,"single-cell RNA-seq, clustering, mosaic cell populations",Tool,Genomic Analysis,Biological Sciences,Genetics,Bioinformatics,https://wheaton5.github.io/projects/souporcell,https://github.com/wheaton5/souporcell,https://demultiplexing-doublet-detecting-docs.readthedocs.io/en/latest/Souporcell.html 
libpsl,"aces, faster","Libpsl is a C library that provides functions to work with the Public Suffix List (PSL), which is a database of domain suffixes (like .com, .co.uk, etc.) that are under public registry control.",It allows applications to accurately determine the effective top-level domain (eTLD) of a domain name.,"C Library, Domain Management, Public Suffix List",System/Library Software,Library,Computer and Information Sciences,,,,,
rocr-runtime,faster,The ROCR Runtime (ROCR) is a runtime system designed for GPU-accelerated computing using ROCm platforms. It provides a high-performance environment for executing applications on AMD GPUs for parallel processing tasks.,"1. GPU-accelerated computing using ROCm platforms
2. High-performance runtime system
3. Support for parallel processing tasks on AMD GPUs
4. Efficient execution of applications on GPU architectures","GPU-accelerated computing, Parallel processing, AMD GPUs",High-performance computing,Runtime system,Computer and Information Sciences,"Software Engineering, Systems, and Development",Computer and Information Sciences,,,
mdtest,delta,"MDTest is a file system metadata benchmark that includes tests to measure metadata operations, such as file creates, stat operations, and directory operations. It is often used to assess the metadata performance of parallel file systems.","1. Measures metadata performance of parallel file systems. 2. Includes tests for file creates, stat operations, and directory operations.","benchmarking, file system, metadata",Tool,Benchmarking Tool,Computer and Information Sciences,,,,,
pgi,"darwin, expanse","PGI Compilers & Tools are the essential HPC development tools for scientists, researchers, and engineers. PGI products deliver world-class performance across a wide range of applications and provide a full-featured, performance optimizing OpenMP and OpenACC parallel programming environment for multicore CPUs and NVIDIA GPUs.","1. High performance optimizing compilers
2. OpenMP and OpenACC parallel programming support
3. Compatibility with multicore CPUs and NVIDIA GPUs
4. Extensive optimization capabilities
5. Debugging and profiling tools
6. Comprehensive set of performance analysis features","HPC, Compilers, Parallel Programming",Development Tool,Compiler,Engineering and Technology,,,https://developer.nvidia.com/legacy-pgi-support,https://docs.nvidia.com/hpc-sdk/pgi-compilers/20.4/x86/index.htm,"https://docs.nvidia.com/hpc-sdk/pgi-compilers/20.4/x86/pgi-user-guide/index.htm , https://docs.nvidia.com/hpc-sdk/pgi-compilers/20.4/x86/pgi-user-guide/index.htm#gs-pgi , https://docs.nvidia.com/hpc-sdk/pgi-compilers/20.4/x86/pgi-user-guide/index.htm#intr-lang-examples "
mvapich2,"anvil, bridges, expanse, kyric, ookami","MVAPICH2 is an open-source MPI implementation for InfiniBand, iWARP, and RoCE communication protocols which delivers high performance and scalability on a wide variety of HPC systems.","1. High performance and scalability on HPC systems
2. Support for InfiniBand, iWARP, and RoCE communication protocols
3. Open-source MPI implementation
4. Efficient use of hardware features for enhanced performance
5. Tuning and optimization capabilities for specific HPC applications","MPI implementation, High Performance Computing, InfiniBand, Open-source",Library/Tool,Middleware/Tools,Physical Sciences,,,https://mvapich.cse.ohio-state.edu/,https://mvapich.cse.ohio-state.edu/static/media/mvapich/mvapich2-2.3.6-userguide.html,"https://events.prace-ri.eu/event/867/attachments/864/1236/MPI_Advanced-PRACE.pdf,https://cvw.cac.cornell.edu/MPIP2P/"
gapfiller,anvil,"GapFiller is a software tool designed for closing gaps and improving genome assemblies by utilizing paired-end reads. It works by enabling the precise elucidation of gaps that occur during the sequencing and assembly process, ultimately enhancing the accuracy and completeness of the assembled genome.","Utilizes paired-end reads for gap filling, Improves genome assembly accuracy, Enhances assembly completeness, Provides detailed elucidation of sequencing gaps","genome assembly, bioinformatics, sequencing, gap filling",Computational Tool,Genome Assembly,Biological Sciences,Genomics,Bioinformatics,,,
stata,darwin,"Stata is a statistical software package widely used by researchers in various disciplines for data analysis, data management, and visualization. It provides a comprehensive suite of statistical tools for both beginners and advanced users.","Statistical analysis, Data management, Data visualization, Regression analysis, Econometric analysis, Time series analysis","statistical software, data analysis, data management, visualization",Proprietary,Statistical Software,Other Mathematics,,Statistics and Probability,,,
angsd,"anvil, faster",angsd is a software for analyzing Next Generation Sequencing (NGS) data such as genome-wide association studies (GWAS) and population genomics data.,"Some core features of angsd include genotype likelihood estimation, mapping quality control, allele frequency estimation, phylogenetic analysis, and population genetic analysis.","NGS data analysis, Genome-wide association studies, Population genomics, Genetic variation",,,Biological Sciences,,,,,
libtirpc,"aces, delta, expanse, faster",libtirpc is an open-source library that provides an implementation of Sun's Transport-Independent RPC (TI-RPC) protocol.,"- Implementation of Sun's TI-RPC protocol, - Support for various RPC transport specification, - Simplified RPC development and integration, - High-performance and efficient RPC communication",software library,Development,Library,Computer and Information Sciences,,,https://github.com/alisw/libtirpc,https://manpages.debian.org/jessie/libtirpc-dev/index.html,"https://manpages.debian.org/jessie/libtirpc-dev/rpc.3t.en.html , https://www.ibm.com/docs/en/i/7.5?topic=ustrdda-examples-developing-service-applications-based-ti-rpc-code "
suite-sparse,expanse,SuiteSparse is a suite of sparse matrix algorithms and solvers available in the form of libraries that are designed to efficiently handle sparse matrices commonly encountered in numerical computations.,"Suite of sparse matrix algorithms and solvers, Efficient handling of sparse matrices, Optimized for numerical computations","Sparse Matrix, Algorithms, Numerical Computations",Computational Software,Library,Other Mathematics,,,,,
idev,stampede3,idev is a compiler wrapper that simplifies the use of Intel's data parallel C++ (DPC++) compiler for offloading computations to GPUs.,"idev facilitates the compilation and execution of DPC++ code for GPU offloading, allowing developers to harness the power of GPUs for compute-intensive tasks.","compiler wrapper, DPC++ compiler, GPU offloading",Tool,Compiler,Computer and Information Sciences,Applied Computer Science,Computer Science,https://tacc.utexas.edu/research/tacc-research/idev/,https://docs.tacc.utexas.edu/software/idev/,https://docs.tacc.utexas.edu/software/idev/#examples
gemoma,anvil,GEMoma (Gene Mapper for RNA-Seq Data) is a tool designed for rapid and accurate mapping of RNA-Seq data to a reference genome.,GEMoma utilizes a fast and memory-efficient seed-and-extend algorithm to map RNA-Seq reads effectively. It supports various parameters customization for mapping precision. The tool also provides visualization options for mapped reads and gene expression levels.,"RNA-Seq, genome mapping, gene expression, bioinformatics",Genome Mapping Tool,Bioinformatics Tool,Biological Sciences,Computational Biology,Bioinformatics,,,
diamond,"anvil, expanse, faster","Diamond is a sequence aligner for protein and translated DNA searches, designed for high performance analysis of protein sequence data utilizing the Diamond heuristic aligner. It is particularly optimized for aligning sequencing reads produced by next-generation sequencing (NGS) machines.","High-performance sequence aligner for protein and translated DNA searches, Optimized for aligning data from NGS machines, Utilizes the Diamond heuristic aligner for rapid alignment, Supports sensitive alignment of multiple query sequences against a large sequence database, Provides significant speedup compared to BLAST tools","Sequence Alignment, NGS Analysis, Bioinformatics",Bioinformatics Tool,Sequence Aligner,Biological Sciences,"Genomics, Proteomics",Bioinformatics,,,
jbigkit,"aces, faster",JBIG-KIT is a software implementation of the JBIG1 data compression standard for bi-level images.,"JBIG-KIT provides tools for compressing and decompressing bi-level images in the JBIG1 format. It is designed to achieve high compression ratios for binary images, making it suitable for applications where storage or transmission bandwidth is a concern.","data compression, image processing, software development",Compression,,Computer and Information Sciences,,,https://www.cl.cam.ac.uk/~mgk25/jbigkit/,https://github.com/nu774/jbigkit,https://github.com/nu774/jbigkit/tree/master/examples
grads,anvil,"GrADS (Grid Analysis and Display System) is an interactive desktop tool that is used for easy access, manipulation, and visualization of earth science data. It is particularly popular in meteorology and climatology for analyzing and plotting meteorological data.","Data visualization, Data analysis, Grid analysis, Time series analysis, Meteorological data processing, Customizable plots","Data Visualization, Meteorology, Climatology, Earth Science, Data Analysis",Desktop application,Visualization software,Earth and Environmental Sciences,,,,,
r-survival,expanse,"R-survival is a package in R for survival analysis, including Cox models, parametric survival regression models, and nonparametric methods.","1. Survival analysis tools for evaluating time-to-event data
2. Cox models for proportional hazards regression analysis
3. Parametric survival regression models for analyzing survival data based on specific distribution assumptions
4. Nonparametric methods such as Kaplan-Meier estimator and Nelson-Aalen estimator for estimating survival functions
5. Tools for handling censored data and time-dependent covariates","survival analysis, statistical analysis, R package",R Package,Statistical Analysis,Other Mathematics,Survival Analysis,Statistics and Probability,,,
